DATE	TIME	VOLUME	OPEN	CLOSE	LOW	HIGH
05/13/2007	21:00:01	1202	9.2286	9.2275	9.2211	9.2443
05/13/2007	22:00:01	1440	9.2275	9.2306	9.2214	9.2319
05/13/2007	23:00:01	1896	9.2274	9.2269	9.2228	9.2345
05/14/2007	00:00:01	2209	9.2281	9.225	9.2196	9.2308
05/14/2007	01:00:01	2499	9.2272	9.2237	9.2199	9.2321
05/14/2007	02:00:01	2172	9.2236	9.2175	9.2169	9.229
05/14/2007	03:00:01	2427	9.2235	9.2223	9.2129	9.2289
05/14/2007	04:00:01	1641	9.2222	9.2205	9.2149	9.2274
05/14/2007	05:00:01	2445	9.2205	9.2196	9.2152	9.2313
05/14/2007	06:00:01	3737	9.218	9.2196	9.2083	9.2245
05/14/2007	07:00:01	4423	9.2197	9.2227	9.2115	9.2287
05/14/2007	08:00:01	3688	9.2246	9.2273	9.2193	9.2326
05/14/2007	09:00:01	3463	9.2274	9.2317	9.2192	9.2348
05/14/2007	10:00:01	4055	9.2315	9.2298	9.2217	9.2333
05/14/2007	11:00:01	3505	9.228	9.233	9.2246	9.2376
05/14/2007	12:00:01	3893	9.2338	9.2316	9.223	9.2368
05/14/2007	13:00:01	3365	9.2293	9.2246	9.2204	9.2329
05/14/2007	14:00:01	3481	9.224	9.2174	9.2082	9.2271
05/14/2007	15:00:01	3372	9.2182	9.2235	9.2095	9.2272
05/14/2007	16:00:01	2543	9.2232	9.2226	9.2136	9.2268
05/14/2007	17:00:01	3094	9.2239	9.2145	9.2033	9.2255
05/14/2007	18:00:01	2287	9.215	9.2201	9.2065	9.2226
05/14/2007	19:00:01	2070	9.2202	9.207	9.2054	9.2266
05/14/2007	20:00:01	1961	9.207	9.206	9.1988	9.2171
05/14/2007	21:00:01	1458	9.2074	9.2078	9.1974	9.2103
05/14/2007	22:00:01	1325	9.2078	9.204	9.1981	9.2096
05/14/2007	23:00:01	1626	9.204	9.2052	9.1988	9.2075
05/15/2007	00:00:01	2054	9.2015	9.2061	9.2003	9.2077
05/15/2007	01:00:01	1718	9.2068	9.2015	9.1997	9.2076
05/15/2007	02:00:01	1643	9.2015	9.2039	9.1972	9.2076
05/15/2007	03:00:01	1542	9.2039	9.2038	9.1977	9.2074
05/15/2007	04:00:01	1574	9.2006	9.2029	9.1956	9.2079
05/15/2007	05:00:01	2761	9.203	9.196	9.1889	9.2202
05/15/2007	06:00:01	5182	9.1958	9.2	9.1918	9.2036
05/15/2007	07:00:01	5137	9.1988	9.2016	9.1949	9.2091
05/15/2007	08:00:01	4437	9.199	9.192	9.1842	9.2018
