DATE	TIME	VOLUME	OPEN	CLOSE	LOW	HIGH
08/05/2003	00:00:01	6	9612.8	9382.5	9382.5	9612.8
08/06/2003	00:00:01	5	9382.5	9323.9	9296.6	9382.5
08/07/2003	00:00:01	7	9323.9	9265.5	9248.1	9324.5
08/08/2003	00:00:01	5	9265.5	9327.5	9256.6	9327.5
08/11/2003	00:00:01	8	9327.5	9487.8	9327.5	9487.8
08/12/2003	00:00:01	12	9487.8	9564.8	9487.8	9595
08/13/2003	00:00:01	83	9564.8	9752.7	9564.8	9752.7
08/14/2003	00:00:01	13	9752.7	9913.4	9730.6	9913.4
08/15/2003	00:00:01	13	9913.4	9863.4	9863.4	9913.4
08/18/2003	00:00:01	10	9863.4	10032.9	9863.4	10032.9
08/19/2003	00:00:01	6	10032.9	10174.1	10032.9	10239.1
08/20/2003	00:00:01	5	10174.1	10292	10174.1	10314.8
08/21/2003	00:00:01	9	10292	10362.6	10245.9	10362.6
08/22/2003	00:00:01	7	10362.6	10281.1	10281.1	10374.2
08/25/2003	00:00:01	6	10281.1	10276.6	10221.3	10281.1
08/26/2003	00:00:01	6	10276.6	10332.5	10191.6	10332.5
08/27/2003	00:00:01	5	10332.5	10308.9	10308.9	10395.3
08/28/2003	00:00:01	6	10308.9	10225.2	10216	10326.5
08/29/2003	00:00:01	8	10225.2	10343.5	10225.2	10343.5
09/01/2003	00:00:01	11	10343.5	10670.1	10343.5	10670.1
09/02/2003	00:00:01	13	10670.1	10690	10668.5	10726.1
09/03/2003	00:00:01	7	10690	10715.6	10665.5	10782.1
09/04/2003	00:00:01	6	10715.6	10646.9	10646.9	10755.5
09/05/2003	00:00:01	6	10646.9	10650.7	10616	10700.8
09/08/2003	00:00:01	10	10650.7	10683.7	10584.3	10699.3
09/09/2003	00:00:01	9	10683.7	10922	10683.7	10922
09/10/2003	00:00:01	26	10922	10856.3	10803.9	10922
09/11/2003	00:00:01	11	10856.3	10546.3	10545.6	10856.3
09/12/2003	00:00:01	5	10546.3	10712.8	10546.3	10712.8
